name,school,level,cast_time,distance,target,duration,save,resist,component,area,effect,description
Защита от стихии,преграждение,"жрец 3, друид 3, следопыт 2, чародей / волшебник 3",1 основное действие,касание,существо (которого коснулись),10 мин. / 1 УЗ или пока не будет исчерпана,Стойкости отменяет (безвредно),да (безвредно),"С, Ж, СФ",,,"<p>Защита от стихии дает временную невосприимчивость к выбранному вами типу воздействия: кислоте, холоду, электричеству, огню или звуку. После того как заклинание ограждает существо от 12 пунктов соответствующего урона за единицу вашего УЗ (до максимума в 120 пунктов урона на 10 уровне), оно прекращает действовать.</p>
<p>Защита от стихии не складывается с эффектами устойчивости к стихии. Если на существо наложена и защита от стихии, и устойчивость к стихии, то защита обычным образом ограждает от урона, пока не исчерпается.</p>"
Защита от стрел,преграждение,чародей / волшебник 2,1 основное действие,касание,существо,1 час / 1 УЗ или пока не сработает,Воли отменяет (безвредно),да (безвредно),"С, Ж, Ф (кусок черепашьего панциря)",,,"<p>Это заклинание защищает от дистанционного оружия, давая существу против него СУ 10 / магия. Это заклинание не дает способности наносить урон существам с аналогичным СУ. Предотвратив 10 урона за УЗ (максимум 100 урона), это заклинание прекращает работать.</p>"
Защита от хаоса,преграждение [принципиальность],"жрец 1, паладин 1, чародей / волшебник 1",,,,,,,,,,"<p> Это заклинание работает так же, как защита от зла, но модификаторы отражения и сопротивляемости относятся к действиям хаотичных противников. Защищенный также получает новый шанс пройти испытание против контролирующих разум способностей хаотичных существ, а призванные хаотичные существа не могут коснуться защищенного.</p>"
Защита от чар,преграждение,чародей / волшебник 8,1 основное действие,касание,одно существо / 4 УЗ,10 мин. / 1 УЗ,Воли отменяет (безвредно),да (безвредно),"С, Ж, Р (алмаз стоимостью 500 зм), Ф (один алмаз стоимостью 1000 зм на каждую цель; этот алмаз надо носить при себе, пока заклинание действует. Если его лишиться, защита прекратит работать)",,,<p>Существо получает +8 (сопротивляемость) к испытаниям против заклинаний и псевдозаклинаний (но не сверхъестественных или экстраординарных способностей).</p>
Звериные облики,превращение (полиморфизм),друид 8,1 основное действие,близкая (25 футов + 5 футов / 2 УЗ),"одно существо / 1 УЗ, все существа в пределах 30 футов друг от друга (только добровольцы)",1 час / 1 УЗ (П),нет; см. текст,да (безвредно),"С, Ж, СФ",,,"<p> Это заклинание работает как облик зверя III, но вы превращаете таким образом не себя или не только себя, а до одного существа за единицу УЗ. Все заколдованные должны быть добровольцами; они принимают облик одного и того же вида животных и остаются в этом облике до окончания действия заклинания либо пока вы его не прервете.</p>
<p>Кроме того, любой из них может вернуться к своему настоящему облику за один полный ход. Такое возвращение отменяет действие заклинания для этого существа.</p>"
Звериный транс,"очарование (принуждение) [разум, звук]","бард 2, друид 2",1 основное действие,близкая (25 футов + 5 футов / 2 УЗ),животные или волшебные звери с Интеллектом 1 или 2,концентрация,Воли отменяет,да,"С, Ж",,,"<p>Плавными движениями и музыкой (или пением) вы очаровываете животных и волшебных зверей, которые начинают завороженно смотреть на вас и больше ничего не предпринимают. Это заклинание применимо только к существам с Интеллектом 1 или 2.</p>
<p>Бросьте 2d6, чтобы определить, сколько именно КЗ существ вы зачаровываете. При наличии множества возможных целей заклинание действует сначала на те, что находятся ближе к вам.</p>"
Зверь-посланник,очарование (принуждение) [разум],"бард 2, друид 2, следопыт 1",1 минута,близкая (25 футов + 5 футов / 2 УЗ),одно мелкое животное,1 день / 1 УЗ,нет; см. текст,да,"С, Ж, Р (кусочек пищи, которая нравится животному)",,,"<p>Вы заставляете животное маленького размера отправиться в выбранное вами место. Чаще всего это заклинание используется для того, чтобы отправить с животным какое-то послание.</p>
<p>Животное-посланник не может быть ручным или дрессированным, включая верных зверей и фамильяров. Сначала вы подманиваете животное вкусным для него кормом. Оно приближается и ждет ваших распоряжений. Вы можете мысленно передать животному образ места, хорошо знакомого вам или приметного издалека. Указания должны быть очень простыми и точными: животное будет полагаться на ваши знания, а не искать путь самостоятельно. Вы можете прикрепить к животному мелкий предмет или записку. Оно после этого отправляется в указанное место и остается там в течение всей длительности заклинания, а по его окончании возвращается к своей обычной жизни.</p>
<p>Пока животное ждет, оно легко подпускает к себе других существ (например, позволяя им взять записку или иной предмет).</p>
<p>Заклинание не дает этим существам никаких особых способностей для общения с животным или понимания послания, которое оно несет (например, записка может быть написана на непонятном им языке).</p>"
Землетрясение,разрушение [земля],"жрец 8, друид 8",1 основное действие,дальняя (400 футов + 40 футов / 1 УЗ),,1 раунд,см. текст,нет,"С, Ж, СФ",облако радиусом 80 футов (Ф),,"<p>Когда вы творите землетрясение, земля в области действия вздрагивает от резкого толчка. Это приводит к тому, что все падают с ног, здания рушатся, появляются трещины в грунте. Волна от толчка действует 1 раунд, в течение которого пешие существа не могут двигаться или атаковать. Те, кто пытается пользоваться заклинаниями, должны пройти проверку концентрации (СЛ 20 + круг заклинания) и в случае провала потратить впустую заклинание, которое пытались сотворить. Землетрясение действует на все предметы, растения и существ в области. Детали зависят от того, на какой именно местности заклинание было использовано.</p>
<p>Пещера, подземелье, туннель: Потолок обваливается, нанося 8d6 дробящего урона всем в зоне завала (успешное испытание Реакции со СЛ 15 уменьшает урон вдвое) и оставляя их под камнями (см. ниже). Если подземное пространство большое, с высокими потолками, то землетрясение может подвергнуть опасности не только тех, кто находится непосредственно в его зоне, но и тех, кто находится ниже.</p>
<p>Горы: В горах землетрясение разбивает скалы, вызывает обвалы и сели, движущиеся по склонам (вперед и вниз). Любое существо у них на пути получает 8d6 дробящего урона (успешное испытание Реакции со СЛ 15 уменьшает урон вдвое) и оказывается завалено камнями (см. ниже).</p>
<p>Открытое пространство: Все существа в зоне действия должны пройти испытание Реакции со СЛ 15 и в случае провала оказаться распластанными. На земле появляются трещины, и любой находящийся на поверхности имеет вероятность 25% провалиться в одну из них (успешное испытание Реакции со СЛ 20 позволяет этого избежать). Трещины имеют глубину 40 футов; по окончании действия заклинания они все закрываются обратно. Все, кто при этом окажутся на дне трещин, считаются находящимися в зоне завала лавины, без доступа к воздуху (см. подробности в главе 13).</p>
<p>Здания: Любое строение получает 100 урона. Это обычно разрушает деревянные и кирпичные постройки, но не прочную каменную кладку. Твердость предметов не влияет на такой урон; он также не уменьшается вдвое, как при обычных повреждениях от предметов.</p>
<p>Любое существо, находящееся внутри рушащегося здания, получает 8d6 дробящего урона (успешное испытание Реакции со СЛ 15 уменьшает урон вдвое) и оказывается под завалом (см. ниже).</p>
<p>Река, озеро или болото: Дно под водой трескается, втягивая жидкость и оставляя на ее месте грязь. На время действия заклинания мелководье превращается в трясину, засасывая существ и постройки. Каждое существо в области действия должно пройти испытание Реакции со СЛ 15 и в случае провала увязнуть в этой грязи. Когда заклинание прекращает действовать, вода возвращается на место и затапливает увязших, если им не удастся спастись.</p>
<p>Под завалом: Любое оказавшееся под завалом существо получает 1d6 несмертельного урона в минуту. Если оно теряет сознание, то каждую минуту должно проходить проверку Выносливости со СЛ 15 и в случае провала получать 1d6 смертельного урона, пока его не вытащат или оно не умрет.</p>"
Зеркальное отражение,иллюзия (фикция),"бард 2, чародей / волшебник 2",1 основное действие,на себя,вы сами,1 мин. / 1 УЗ,,,"С, Ж",,,"<p>Это заклинание создает ваши зеркальные отражения — иллюзорных двойников, сбившихся в кучу на вашей же клетке. Из-за них противникам становится трудно точно определить ваше местонахождение, чтобы в вас прицелиться. Изначально заклинание создает 1d4 отражений и по одному за 3 УЗ (максимум 8 отражений). Они остаются на вашей клетке и перемещаются вместе с вами, делая такие же движения, издавая такие же звуки и т. д.</p>
<p>Когда вас атакуют оружием или заклинанием, то есть вероятность, что вместо вас попадут в двойника. В случае попадания определите случайным образом, в кого именно попали: в вас или в одно из отражений; если в отражение, то оно рассеивается. В случае промаха на 5 или меньше, одно из отражений также оказывается уничтожено. Заклинания, которые действуют на область, влияют на вас обычным образом и не уничтожают отражения, равно как и все заклинания и эффекты, для которых не надо проходить проверок попадания. Если в двойника попадает атака касанием, любой ее магический заряд пропадает без вреда для вас.</p>
<p>Нападающий должен быть способен видеть отражения, чтобы они могли его обмануть. Если вы невидимы или нападающий слеп, заклинание не действует на него (но обычные эффекты слепоты и невидимости по-прежнему в силе).</p>"
Змеиный знак,воплощение (созидание) [сила],"бард 3, чародей / волшебник 3",10 минут,касание,одна книга или иной источник текста,постоянное или пока не сработает; до прекращения или 1d4 дня + 1 день / 1 УЗ; см. текст,Реакции отменяет,нет,"С, Ж, Р (толченый янтарь стоимостью 500 зм и чешуйка змеи)",,,"<p>Вы вставляете в текст маленький значок; текст для этого должен иметь длину хотя бы в 25 слов. Когда кто-то читает этот текст, змеиный знак превращается в змею, бросающуюся на читателя, если между ним и знаком в тексте есть линия досягаемости.</p>
<p>Просто видеть текст для активации знака недостаточно: его надо именно читать. Жертва может пройти испытание Воли; при успехе змея исчезает со вспышкой света, дымом и шумом. При провале жертву окутывает янтарный кокон силы и удерживает, пока не пройдет 1d4 дня + 1 день за единицу УЗ или вы не прекратите действие заклинания.</p>
<p>Существо в янтарном коконе находится в стазисе: не дышит, не стареет, не нуждается во сне и пище, не восстанавливает заклинания и ничего вокруг себя не воспринимает. Ему можно навредить извне (и даже убить), поскольку поле не защищает от физического урона. Однако оказавшееся при смерти существо не теряет ПЗ и не стабилизируется, пока заклинание работает.</p>
<p>Невооруженным глазом змеиный знак заметить невозможно, а обнаружение магии лишь открывает, что весь текст является магическим. Рассеивание магии позволяет убрать знак; заклинание стирание уничтожает весь текст на странице.</p>
<p>Змеиный знак можно применять в сочетании с другими заклинаниями, скрывающими или путающими текст — такими как тайная страница.</p>"
Знание легенд,прорицание,"бард 4, чародей / волшебник 6",см. текст,на себя,вы сами,см. текст,,,"С, Ж, Р (благовония стоимостью 250 зм), Ф (четыре палочки из слоновой кости стоимостью 50 зм каждая)",,,"<p>Знание легенд позволяет вам получить информацию о примечательных персонажах, местах или предметах. Если тот самый персонаж или предмет находится рядом с вами либо вы сами сейчас в том месте, про которое хотите узнать, то время сотворения заклинания составляет всего 1d4×10 минут. Если у вас есть только подробная информация об этом персонаже, месте или предмете, время сотворения составляет 1d10 дней, а полученные сведения менее полны (хотя нередко их бывает достаточно, чтобы найти нужного персонажа, место или предмет, упрощая себе следующую попытку применить это заклинание). Если вам известны только слухи, время сотворения составляет целых 2d6 недель, а информация оказывается невнятной и неполной, однако полученные сведения все же упрощают повторное применение знания легенд.</p>
<p>Пока вы заняты творением заклинания, вы не можете отвлекаться на что-то сложнее бытовой рутины (еды, сна и т. д.). По завершении работы вы узнаете легенды, если такие существуют, об интересовавшем вас человеке, месте или предмете. Легенды эти могут быть живыми, или забытыми, или даже почти неизвестными. Если то, о чем вы спрашивали, никогда не попадало в легенды, информации вы не получаете. Обычно легендарными считаются персонажи 11 уровня и выше, связанные с ними существа, их любимые волшебные предметы и места, где они совершили свои самые выдающиеся деяния.</p>"
Зрение некроманта,некромантия,жрец 1,1 основное действие,30 футов,,10 мин. / 1 УЗ,нет,нет,"С, Ж",эманация в форме конуса,,"<p>Пользуясь искусством некромантии, вы определяете, насколько близки к смерти существа в пределах дистанции заклинания. Вы немедленно узнаете, в каком состоянии каждое существо: мертво, близко к смерти (живо, но ранено и имеет 3 или менее ПЗ), повреждено (живо, ранено, но имеет 4 и более ПЗ) или в полном здравии. Вы также отличаете нежить и существ, не являющихся ни живыми ни мертвыми (например, конструкции).</p>
<p>Зрение некроманта позволяет распознавать тех, кто притворяется мертвым, используя для этого любые заклинания или особые способности.</p>"
Изгнание,преграждение,"жрец 6, чародей / волшебник 7",1 основное действие,близкая (25 футов + 5 футов / 2 УЗ),"одно или более существ из другого мира, все в пределах 30 футов друг от друга",мгновенное,Воли отменяет,да,"С, Ж, Ф (см. текст)",,,"<p>Изгнание — это усиленная версия заклинания возвращение.</p>
<p>Оно позволяет вам отправить восвояси существ с иных планов.</p>
<p>Изгнать вы можете до двух КЗ существ за свой УЗ. Вы увеличиваете шансы заклинания на успех, если используете в качестве фокусирующей энергию вещи предметы или вещества, которых существо боится или ненавидит. За каждый такой предмет или вещество вы получаете +1 к своему УЗ для преодоления УкМ изгоняемых существ (если у них есть УкМ), а также увеличиваете для них СЛ испытания Воли на 2. Особо выдающиеся предметы могут оказаться вдвое более эффективны: давать +2 на попытки преодоления УкМ и увеличивать СЛ испытания на 4.</p>"
Изготовление,превращение,чародей / волшебник 5,см. текст,близкая (25 футов + 5 футов / 2 УЗ),до 10 куб. футов / 1 УЗ; см. текст,мгновенное,нет,нет,"С, Ж, Р (сырье для изготовления нужного предмета такой же стоимости)",,,"<p>Вы превращаете сырье в готовое изделие из того же материала.</p>
<p>Это заклинание неспособно создавать существ или волшебные предметы. Качество получившихся предметов соответствует качеству использованных материалов. Если вы используете камень или металл, то максимальный размер создаваемого предмета составляет всего 1 кубический фут за УЗ вместо 10 кубических футов. Для изготовления сложных предметов вам нужно успешно пройти проверку навыка Ремесла.</p>
<p>Для сотворения этого заклинания требуется 1 раунд за 10 кубических футов материала.</p>"
Излечение,воплощение (исцеление),"жрец 6, друид 7",1 основное действие,касание,существо,мгновенное,Воли отменяет (безвредно),да (безвредно),"С, Ж",,,"<p> Излечение позволяет вам направить позитивную энергию на существо и исцелить его от болезней и ран. Это заклинание избавляет существо от всех перечисленных далее состояний: безумие, болезни, глухота, дезориентация, замешательство, обессиленность, ослепление, отравление, растерянность, слабоумие, ступор, тошнота, урон характеристикам, усталость и шок. Оно также восстанавливает 10 ПЗ за единицу УЗ до максимума в 150 на 15 уровне.</p>
<p>Излечение не убирает отрицательные уровни и не восстанавливает потерянные единицы характеристик.</p>
<p>Против нежити излечение работает как повреждение.</p>"
"Излечение, массовое",воплощение (исцеление),жрец 9,,близкая (25 футов + 5 футов / 2 УЗ),"одно или несколько существ, все в пределах 30 футов друг от друга",,,,,,,"<p>Это заклинание работает так же, как излечение, за исключением указанных выше различий. Оно может восстановить до 250 ПЗ каждому существу.</p>"
Излечение скакуна,воплощение (исцеление),паладин 3,1 основное действие,касание,ваш скакун,мгновенное,Воли отменяет (безвредно),да (безвредно),"С, Ж",,,"<p>Это заклинание работает так же, как излечение, но действует только на особого скакуна паладина (обычно лошадь).</p>"
Изменение звуков,превращение,бард 3,1 основное действие,близкая (25 футов + 5 футов / 2 УЗ),"одно существо или предмет / 1 УЗ, все в пределах 30 футов друг от друга",1 час / 1 УЗ (П),Воли отменяет (предмет),да (предмет),"С, Ж",,,"<p>Вы изменяете звуки, которые издают существа или предметы, заглушая их, создавая дополнительные звуки или превращая в совершенно другие. Звуки от всех существ или предметов трансформируются одинаково; как именно — вы выбираете при сотворении заклинания и потом менять не можете. Вы не можете создавать звуки, которых никогда не слышали. Заклинатель, чей голос слишком сильно изменился, не может применять заклинания со словесными компонентами.</p>"
Изменение облика,иллюзия (морок),"бард 1, чародей / волшебник 1",1 основное действие,на себя,вы сами,10 мин. / 1 УЗ (П),,,"С, Ж",,,"<p>Вы мгновенно меняете свой внешний вид, включая одежду, доспехи, оружие и прочее снаряжение. Вы можете выглядеть на 1 фут выше или ниже, казаться тоньше или толще. Вы не можете изменить свой тип существа (но вы можете выглядеть как другой подтип).</p>
<p>В остальном выбор деталей за вами: вы можете просто скрыть какую-то важную мелочь или изобразить совсем другое существо.</p>
<p>Это заклинание не предоставляет вам способностей или манер принятой формы, а также ничего не делает со звуками и тактильными характеристиками. Если вы используете это заклинание как подспорье в применении навыка Перевоплощение, то получаете +10 к проверке навыка. Существо, взаимодействующее с вашей иллюзией, получает шанс пройти испытание Воли, чтобы распознать морок.</p>"
Изоляция,преграждение,чародей / волшебник 7,1 основное действие,касание,один доброволец или предмет (до куба 2×2×2 фута) / 1 УЗ,1 день / 1 УЗ (П),нет или испытание Воли отменяет (предмет),нет или да (предмет),"С, Ж, Р (веко василиска и гуммиарабик)",,,"<p>Это заклинание не позволяет чарам прорицания обнаруживать существо, а также делает его невидимым для глаз (как невидимость). При этом нащупать объект заклинания все же можно.</p>
<p>Существа в изоляции впадают в кому и пребывают в беспамятстве, пока заклинание не прекратит действовать.</p>
<p>Примечание: Волшебный или находящийся у кого-то предмет может пройти испытание Воли, чтобы избежать изоляции.</p>
<p>Испытания не помогают обнаружить изолированное существо при помощи заклинаний прорицания.</p>"
Иллюзорная местность,иллюзия (морок),"бард 4, чародей / волшебник 4",10 минут,дальняя (400 футов + 40 футов / 1 УЗ),,2 часа / 1 УЗ (П),"Воли (разоблачение, при взаимодействии)",нет,"С, Ж, Р (камень, веточка и зеленый лист)",(один куб 30×30×30 футов) / 1 УЗ (Ф),,"<p>Вы меняете вид, звуки и запахи природной местности на другие, но тоже природные. Заклинание никак не маскирует и не меняет вид зданий, искусственных предметов и живых существ.</p>"
Иллюзорная стена,иллюзия (фикция),чародей / волшебник 4,1 основное действие,близкая (25 футов + 5 футов / 2 УЗ),,постоянное,Воли разоблачение (при взаимодействии),нет,"С, Ж",,иллюзия размером 1×10×10 футов,"<p>Это заклинание создает иллюзию стены, пола или иной подобной поверхности. Она выглядит совершенно реальной на вид, но предметы без препятствий проходят сквозь нее. Если с помощью этого заклинания скрыть ямы, ловушки или двери, то любые средства поиска, не требующие зрения, работают как обычно: потрогав стену, можно сразу обнаружить ее иллюзорность — однако она от этого не исчезает. Хотя заклинатель видит сквозь иллюзорную стену, другие существа этого не могут, даже если пройдут испытание Воли и поймут, что она ненастоящая.</p>"
Иллюзорные письмена,иллюзия (фантазм) [разум],"бард 3, чародей / волшебник 3",1 минута на страницу,касание,один предмет весом не более 10 фунтов,один день / 1 УЗ (П),Воли отменяет; см. текст,да,"С, Ж, Р (свинцовые чернила стоимостью 50 зм)",,,"<p> Вы записываете текст на листе бумаги, пергамента или другого подходящего материала. Иллюзорные письмена выглядят как незнакомый язык или волшебные знаки. Прочитать их может только тот, для кого они были предназначены при сотворении заклинания, — всем остальным они кажутся непонятными.</p>
<p>Мало того: любой, кроме настоящего адресата, при попытке прочитать их должен пройти испытание Воли; при успехе он просто отводит от букв глаза, чувствуя себя слегка сбитым с толку. Провал означает, что существо получает внушение, вписанное вами в текст во время сотворения заклинания. Это внушение длится всего 30 минут; оно может, например, быть следующим: ≪закрой книгу и уйди≫ или ≪забудь про существование этой записки≫ — и т. п. Удачное применение рассеивания магии к тексту удаляет иллюзорные письмена вместе со всеми их тайными посланиями.</p>
<p>Заклинание истинное зрение в сочетании с чтением магических текстов или пониманием языков позволяет прочитать истинное послание, заложенное в иллюзорных письменах.</p>"
Иной облик,превращение (полиморфизм),"бард 2, чародей / волшебник 2",1 основное действие,на себя,вы сами,1 мин. / 1 УЗ (П),,,"С, Ж, M (частичка существа, форму которого вы собираетесь принять)",,,"<p>Сотворив это заклинание, вы принимаете форму любого существа-гуманоида небольшого или среднего размера. Если подобные гуманоиды имеют какие-то из перечисленных ниже способностей, вы тоже их получаете на все время действия этого заклинания: ночное зрение на 60 футов, нюх, плавание 30 футов, сумеречное зрение.</p>
<p>Небольшое существо: Если вы принимаете облик гуманоида небольшого размера, то получаете бонус +2 (размер) к Ловкости.</p>
<p>Среднее существо: Если вы принимаете облик гуманоида среднего размера, то получаете бонус +2 (размер) к Силе.</p>"
Истинное воскрешение,воплощение (исцеление),жрец 9,10 минут,,,,,,"С, Ж, M, СФ (алмаз стоимостью 25 000 зм)",,,"<p>Это заклинание работает так же, как возвращение к жизни, но вы можете воскресить существо, которое было мертвым до момента воскрешения в течение 10 лет, за единицу УЗ. Заклинание позволяет воскресить тех, чьи тела были уничтожены, если вы можете однозначно определить, кого воскрешаете (распространенный прием — указание времени и места рождения либо смерти покойного).</p>
<p>Сотворив заклинание, вы немедленно воссоздаете существо с полными ПЗ, здоровое, без негативных уровней (или потери пунктов Выносливости), со всеми заклинаниями, которые были у существа подготовлены перед смертью.</p>
<p>Вы можете воскресить в том числе и тех, кто был убит смертельным эффектом или превращен в нежить и после уничтожен.</p>
<p>Это заклинание может воскрешать элементалей и потусторонних существ, но не конструкции или нежить.</p>
<p>Даже истинное воскрешение не может вернуть жизнь умершему от старости существу.</p>"
Истинное зрение,прорицание,"жрец 5, друид 7, чародей / волшебник 6",1 основное действие,касание,существо,1 мин. / 1 УЗ,Воли отменяет (безвредно),да (безвредно),"С, Ж, Р (мазь для глаз стоимостью 250 зм)",,,"<p>Вы наделяете существо способностью видеть все в истинном облике. Оно видит в обычной и магической тьме, замечает скрытые магией потайные двери, определяет, где находятся существа и предметы под воздействием заклинаний расплывчатости или марева, видит невидимое, отличает иллюзии и узнает истинный облик превращенных существ или предметов. Оно также может заглядывать на Эфирный план (но не в межпространственные места). Дистанция истинного зрения составляет 120 футов.</p>
<p>Истинное зрение не позволяет смотреть сквозь предметы и не похоже на рентгеновские лучи; не отменяет плохую видимость, в том числе из-за тумана; не помогает различать лица под гримом или масками, замечать спрятавшихся существ или потайные двери, замаскированные без помощи магии. Это заклинание не может работать сквозь хрустальный шар или чары вроде ясновидения / яснослышания.</p>"
Истощение,некромантия,чародей / волшебник 4,1 основное действие,близкая (25 футов + 5 футов / 2 УЗ),,мгновенное,нет,да,"С, Ж",,луч негативной энергии,"<p> Вы выпускаете из пальца черный луч негативной энергии, подавляющий жизненную силу любого живого существа на своем пути. При попадании дистанционной атакой касанием цель получает 1d4 временных отрицательных уровня (см. приложение 1).</p>
<p>Отрицательные уровни складываются.</p>
<p>Если существо выживает, то оно возвращает себе потерянные уровни через количество часов, равное вашему УЗ (максимум 15 часов). Обычно временные отрицательные уровни имеют вероятность превратиться в постоянные, но это неверно для заклинания истощения: они слишком быстро снимаются.</p>
<p>Нежить, в которую попал такой луч, получает 1d4×5 временных ПЗ на 1 час.</p>"
Исцеление критических ранений,воплощение (исцеление),"бард 4, жрец 4, друид 5",,,,,,,,,,"<p>Это заклинание работает так же, как исцеление легких ранений, но восстанавливает 4d8 ПЗ + 1 за УЗ (максимум +20).</p>"
"Исцеление критических ранений, массовое",воплощение (исцеление),"жрец 8, друид 9",,,,,,,,,,"<p>Это заклинание работает так же, как массовое исцеление легких ранений, но восстанавливает 4d8 ПЗ + 1 за УЗ (максимум +40).</p>"
Исцеление легких ранений,воплощение (исцеление),"бард 1, жрец 1, друид 1, паладин 1, следопыт 2",1 основное действие,касание,существо,мгновенное,Воли . (безвредно); см. текст,да (безвредно); см. текст,"С, Ж",,,"<p>Касаясь рукой живого существа, вы передаете ему позитивную энергию, которая восстанавливает ему 1d8 ПЗ + 1 за УЗ (максимум +5). Поскольку нежить существует благодаря негативной энергии, это заклинание наносит ей урон вместо того, чтобы исцелять. УкМ нежити может защитить ее от урона, а успешно пройденное испытание Воли уменьшает урон вдвое.</p>"
